timestamp,radar_id,frame_number,angle,distance,velocity,x,y,z,peak_val,range_idx,doppler_idx
1762526023.1652641,0,30955,0.0,398.4375,532.0,3.984375,0.0,0.0,52,0,5320
1762526023.1652641,0,30955,91.20229488808465,3388.245943152454,119.5,-0.7109375,33.875,-0.2890625,0,198,1195
1762526023.1652641,0,0,0,0,211.28571428571428,0,0,0,0,0,0
1762526023.1652641,0,30957,0.0,398.4375,532.0,3.984375,0.0,0.0,53,0,5320
1762526023.1652641,0,0,0,0,211.28571428571428,0,0,0,0,0,0
1762526023.1652641,0,30959,0.0,398.4375,533.6,3.984375,0.0,0.0,52,0,5336
1762526023.1652641,0,0,0,0,211.28571428571428,0,0,0,0,0,0
1762526023.1652641,0,30961,0.0,398.4375,532.8000000000001,3.984375,0.0,0.0,52,0,5328
1762526023.1652641,0,0,0,0,211.28571428571428,0,0,0,0,0,0
1762526023.1652641,0,32225,0.0,331.25,469.6,3.3125,0.0,0.0,65499,0,4696
1762526023.1652641,0,32227,0.0,330.46875,483.20000000000005,3.3046875,0.0,0.0,65486,0,4832
1762526023.1652641,0,32229,0.0,318.75,464.0,3.1875,0.0,0.0,65413,0,4640
1762526023.171278,0,32233,0.0,462.5,470.40000000000003,4.625,0.0,0.0,96,0,4704
1762526023.171278,0,32235,0.0,262.5,480.0,2.625,0.0,0.0,65491,0,4800
1762526023.171278,0,32241,0.0,330.46875,503.20000000000005,3.3046875,0.0,0.0,65483,0,5032
1762526023.171278,0,32243,0.0,260.9375,482.40000000000003,2.609375,0.0,0.0,65479,0,4824
1762526023.171278,0,0,0,0,24683.0,0,0,0,0,0,0
1762526023.171278,0,0,0,0,24682.875,0,0,0,0,0,0
1762526023.171278,0,32247,0.0,260.9375,483.20000000000005,2.609375,0.0,0.0,65479,0,4832
1762526023.171278,0,0,0,0,24671.25,0,0,0,0,0,0
1762526023.171278,0,32249,0.0,330.46875,500.0,3.3046875,0.0,0.0,65483,0,5000
1762526023.171278,0,0,0,0,24672.375,0,0,0,0,0,0
1762526023.1773016,0,32253,0.0,331.25,506.40000000000003,3.3125,0.0,0.0,65491,0,5064
1762526023.1773016,0,0,0,0,18912.071428571428,0,0,0,0,0,0
1762526023.1773016,0,0,0,0,24673.875,0,0,0,0,0,0
1762526023.1773016,0,32257,0.0,400.0,496.8,4.0,0.0,0.0,32,0,4968
1762526023.1773016,0,0,0,0,14227.214285714286,0,0,0,0,0,0
1762526023.1773016,0,32259,0.0,400.0,493.6,4.0,0.0,0.0,32,0,4936
1762526023.1773016,0,0,0,0,14227.142857142857,0,0,0,0,0,0
1762526023.1773016,0,32261,0.0,400.0,484.8,4.0,0.0,0.0,27,0,4848
1762526023.1773016,0,0,0,0,24673.5,0,0,0,0,0,0
1762526023.1773016,0,32263,0.0,464.0625,480.0,4.640625,0.0,0.0,87,0,4800
1762526023.1773016,0,0,0,0,8415.125,0,0,0,0,0,0
1762526023.1773016,0,32265,0.0,400.78125,483.20000000000005,4.0078125,0.0,0.0,21,0,4832
1762526023.1773016,0,0,0,0,8418.75,0,0,0,0,0,0
1762526023.1773016,0,32267,0.0,400.78125,489.6,4.0078125,0.0,0.0,22,0,4896
1762526023.1773016,0,0,0,0,8420.75,0,0,0,0,0,0
1762526023.1833553,0,32269,0.0,400.0,496.0,4.0,0.0,0.0,33,0,4960
1762526023.1833553,0,0,0,0,8421.0,0,0,0,0,0,0
1762526023.1833553,0,32271,0.0,400.0,496.8,4.0,0.0,30.359375,34,0,4968
1762526023.1833553,0,0,0,0,9596.285714285714,0,0,0,0,0,0
1762526023.1833553,0,32273,0.0,396.875,484.0,3.96875,0.0,0.0,72,0,4840
1762526023.1833553,0,0,0,0,9596.214285714286,0,0,0,0,0,0
1762526023.1833553,0,32275,0.0,332.8125,489.6,3.328125,0.0,0.0,65528,0,4896
1762526023.1833553,0,32275,90.0,46.875,1.8,0.0,0.46875,33.5625,1211,4216,18
1762526023.1833553,0,32277,0.0,330.46875,472.8,3.3046875,0.0,0.0,65484,0,4728
1762526023.1833553,0,32279,0.0,423.4375,460.0,4.234375,0.0,0.0,258,0,4600
1762526023.1833553,0,32281,0.0,457.03125,485.6,4.5703125,0.0,0.0,131,0,4856
1762526023.1833553,0,32281,90.0,46.875,-3.8000000000000003,0.0,0.46875,34.4375,1123,4232,-38
1762526023.1833553,0,0,0,0,16554.5,0,0,0,0,0,0
1762526023.1833553,0,32283,0.0,391.40625,451.20000000000005,3.9140625,0.0,0.0,109,0,4512
1762526023.1833553,0,0,0,0,16553.625,0,0,0,0,0,0
1762526023.1894164,0,32287,0.0,430.46875,457.6,4.3046875,0.0,0.234375,238,0,4576
1762526023.1894164,0,32291,0.0,385.15625,463.20000000000005,3.8515625,0.0,0.0,142,0,4632
1762526023.1894164,0,32295,0.0,331.25,468.8,3.3125,0.0,0.0,65499,0,4688
1762526023.1894164,0,32295,90.0,3035.9375,38.5,0.0,30.359375,30.6875,963,4088,385
1762526023.1894164,0,32297,0.0,331.25,467.20000000000005,3.3125,0.0,30.359375,65494,0,4672
1762526023.1894164,0,32301,0.0,741.40625,417.6,7.4140625,0.0,0.0,65520,0,4176
1762526023.1894164,0,0,0,0,24729.0,0,0,0,0,0,0
1762526023.1954346,0,32307,0.0,400.78125,483.20000000000005,4.0078125,0.0,0.0,13,0,4832
1762526023.1954346,0,32309,0.0,397.65625,479.20000000000005,3.9765625,0.0,0.0,65,0,4792
1762526023.1954346,0,32311,0.0,400.0,475.20000000000005,4.0,0.0,0.0,23,0,4752
1762526023.1954346,0,32313,0.0,400.78125,489.6,4.0078125,0.0,0.0,19,0,4896
1762526023.1954346,0,0,0,0,24726.625,0,0,0,0,0,0
1762526023.1954346,0,0,0,0,24726.25,0,0,0,0,0,0
1762526023.1954346,0,32317,0.0,467.1875,471.20000000000005,4.671875,0.0,0.0,52,0,4712
1762526023.1954346,0,32319,0.0,400.0,472.8,4.0,0.0,0.0,23,0,4728
1762526023.1954346,0,0,0,0,24727.0,0,0,0,0,0,0
1762526023.1954346,0,32321,0.0,400.78125,480.8,4.0078125,0.0,0.0,11,0,4808
